year,category,count
1965,She,368
1965,He,206
1965,CoreHe,206
1965,CoreShe,301
1965,Achiev,146
1965,Work,56
1965,Body,224
1965,See,207
1965,Hear,230
1965,Feel,144
1965,Health,147
1965,Leisure,169
1965,Home,46
1965,Money,57
1965,Social,2510
1965,Family,22
1965,Friends,42
1965,Colour,7
1966,She,333
1966,He,142
1966,CoreHe,142
1966,CoreShe,283
1966,Achiev,169
1966,Work,86
1966,Body,169
1966,See,332
1966,Hear,159
1966,Feel,183
1966,Health,118
1966,Leisure,175
1966,Home,73
1966,Money,80
1966,Social,1981
1966,Family,15
1966,Friends,20
1966,Colour,18
1967,She,272
1967,He,153
1967,CoreHe,153
1967,CoreShe,243
1967,Achiev,142
1967,Work,43
1967,Body,214
1967,See,306
1967,Hear,179
1967,Feel,132
1967,Health,101
1967,Leisure,222
1967,Home,50
1967,Money,48
1967,Social,2199
1967,Family,9
1967,Friends,29
1967,Colour,5
1968,She,232
1968,He,142
1968,CoreHe,142
1968,CoreShe,194
1968,Achiev,151
1968,Work,47
1968,Body,186
1968,See,299
1968,Hear,279
1968,Feel,188
1968,Health,136
1968,Leisure,202
1968,Home,83
1968,Money,45
1968,Social,2400
1968,Family,23
1968,Friends,33
1968,Colour,32
1969,She,266
1969,He,222
1969,CoreHe,221
1969,CoreShe,211
1969,Achiev,173
1969,Work,46
1969,Body,217
1969,See,304
1969,Hear,210
1969,Feel,184
1969,Health,134
1969,Leisure,181
1969,Home,58
1969,Money,56
1969,Social,2438
1969,Family,60
1969,Friends,46
1969,Colour,9
1970,She,309
1970,He,173
1970,CoreHe,172
1970,CoreShe,237
1970,Achiev,174
1970,Work,56
1970,Body,216
1970,See,285
1970,Hear,210
1970,Feel,169
1970,Health,110
1970,Leisure,283
1970,Home,100
1970,Money,65
1970,Social,2545
1970,Family,80
1970,Friends,49
1970,Colour,19
1971,She,355
1971,He,250
1971,CoreHe,250
1971,CoreShe,328
1971,Achiev,134
1971,Work,50
1971,Body,182
1971,See,238
1971,Hear,199
1971,Feel,152
1971,Health,129
1971,Leisure,234
1971,Home,121
1971,Money,61
1971,Social,2398
1971,Family,78
1971,Friends,37
1971,Colour,7
1972,She,213
1972,He,210
1972,CoreHe,198
1972,CoreShe,182
1972,Achiev,188
1972,Work,42
1972,Body,225
1972,See,310
1972,Hear,287
1972,Feel,161
1972,Health,158
1972,Leisure,295
1972,Home,95
1972,Money,54
1972,Social,2396
1972,Family,102
1972,Friends,35
1972,Colour,20
1973,She,279
1973,He,456
1973,CoreHe,456
1973,CoreShe,221
1973,Achiev,212
1973,Work,72
1973,Body,187
1973,See,316
1973,Hear,239
1973,Feel,242
1973,Health,131
1973,Leisure,323
1973,Home,80
1973,Money,97
1973,Social,2837
1973,Family,88
1973,Friends,62
1973,Colour,8
1974,She,302
1974,He,142
1974,CoreHe,142
1974,CoreShe,262
1974,Achiev,172
1974,Work,38
1974,Body,177
1974,See,215
1974,Hear,233
1974,Feel,225
1974,Health,136
