word,count
you,64606
your,15459
love,15283
she,15180
her,11979
we,10331
girl,9606
say,9514
he,8187
man,7398
youre,6592
see,5264
said,4326
shes,4296
ill,4216
they,4112
his,3981
feel,3697
tell,3444
eyes,3428
him,3372
boy,3226
life,2900
heart,2871
hear,2796
hes,2523
ya,2449
woman,2388
hey,2212
who,2075
hands,2036
look,1903
girls,1884
hand,1718
our,1698
work,1688
lets,1662
better,1655
us,1646
them,1636
song,1632
dance,1542
home,1475
round,1454
show,1443
music,1400
party,1388
youll,1377
rock,1320
honey,1263
try,1260
hard,1241
heard,1172
boys,1162
head,1158
money,1142
play,1125
youve,1117
body,1089
lover,1000
listen,982
name,977
talk,975
people,972
hot,949
touch,942
feeling,922
best,908
shit,896
face,869
someone,862
black,856
dream,789
told,780
looking,769
help,765
beat,765
friends,762
hair,738
says,722
miss,717
free,710
first,706
watch,697
lose,684
babe,675
fire,674
somebody,672
friend,649
pay,644
game,644
dreams,640
lost,635
white,630
ass,629
saying,628
yall,621
sing,620
club,612
women,603
door,596
bitch,590
seen,574
arms,556
men,552
their,535
lady,530
eye,526
pain,524
cold,522
living,517
beautiful,515
loves,514
loving,504
trying,504
easy,503
theyre,472
blue,471
strong,470
mama,460
whos,457
family,456
red,452
feels,446
lovers,436
sleep,433
blind,428
weve,427
saw,425
top,421
house,417
alive,417
son,416
youd,412
tried,408
sound,405
girlfriend,402
loved,398
shine,395
room,389
cool,389
meet,381
ma,378
read,376
lead,376
songs,374
control,371
running,365
sayin,362
dancing,362
tight,354
bed,350
feet,347
mother,344
daddy,343
lips,338
wake,330
momma,328
felt,325
talking,323
hearts,322
met,313
phone,311
boom,305
team,304
ladies,303
queen,296
speak,294
drink,292
skin,292
spend,291
tired,282
working,280
yours,279
bright,277
ring,274
worth,272
sister,264
wife,262
check,261
breath,260
telling,260
watching,256
stroke,248
power,246
feelings,246
guy,243
number,241
learn,239
warm,237
share,237
giving,235
mr,226
buy,225
bet,225
singing,223
ear,220
chorus,219
perfect,219
playing,217
kids,213
clothes,211
sight,211
loud,208
fingers,204
looked,203
school,202
brother,201
fat,198
knees,197
win,196
looks,196
band,195
send,191
breathe,191
wed,191
chick,189
finger,188
story,185
dj,184
window,184
sunshine,183
wear,183
radio,180
secret,179
mouth,179
kid,178
voice,177
clean,176
celebrate,176
bar,172
shoes,172
write,172
green,170
hed,168
ball,167
picture,166
ahead,165
games,165
dancin,162
dreaming,162
wine,161
shining,160
yellow,158
dick,158
hello,156
harder,155
losing,155
scream,155
pride,152
played,152
married,152
hips,152
hanging,149
sick,149
learned,148
pussy,147
grab,146
type,146
dollar,145
drunk,145
boyfriend,144
proud,143
theyll,141
shout,139
sweat,139
king,138
brown,138
sang,138
shoulder,135
rich,134
bought,132
hip,132
beach,130
sent,130
weak,128
blood,128
guys,127
listening,126
father,126
shop,126
spent,124
pretend,124
fantasy,122
sounds,120
quit,118
cash,116
somebodys,115
stronger,115
loose,115
price,114
plan,112
sleeping,110
blues,110
edge,110
whisper,109
garden,108
brain,108
pa,108
thick,106
survive,105
rent,104
theyve,104
rough,103
mom,102
rap,102
tv,102
plays,101
job,101
beauty,100
strength,100
dime,100
bill,100
wash,99
secrets,98
welcome,98
hangin,98
guitar,96
works,96
paid,96
plans,95
faces,94
wrote,94
herself,93
hotel,93
stare,93
wet,93
himself,93
tender,92
blinded,92
paper,92
doctor,91
color,90
self,89
dry,88
dreamin,88
letter,88
toes,87
tootsie,87
cream,87
poison,87
tongue,87
drinks,86
taught,84
leads,84
watchin,84
sand,84
touched,83
rings,83
dad,82
legs,82
teach,81
dollars,81
bodys,81
movie,80
voices,80
question,80
ears,80
foot,79
climb,79
neck,79
noise,79
yard,78
message,78
telephone,77
super,77
partner,76
business,75
hush,75
danced,75
smooth,75
doors,74
boyz,74
relax,74
staring,74
praise,74
ur,73
dreamed,73
butt,73
begging,73
private,73
fever,73
asleep,72
poor,72
louder,72
bank,72
heads,71
seeing,71
test,71
book,70
folks,70
bathroom,70
questions,69
addicted,69
spending,69
drama,69
succeed,68
shinin,68
musics,68
squeeze,68
brothers,68
mothers,68
soft,67
arm,67
sisters,66
theyd,66
sees,66
bills,66
daddys,66
beer,65
bone,65
worked,64
ourselves,64
rub,64
brighter,63
hi,62
trade,62
champagne,62
drinking,62
sunlight,62
gal,62
silence,61
store,61
chest,61
mall,61
eyed,60
sold,60
quiet,60
girlfriends,60
gray,60
naked,60
bones,59
sell,59
view,59
tease,59
breathing,59
spit,59
screamin,59
tenderness,59
hearing,58
heavy,58
hotter,58
daughter,58
human,58
mommas,58
gives,58
partys,58
dancer,57
thighs,57
sir,57
shows,57
neighborhood,57
drum,56
sings,56
parents,56
heels,56
rocks,56
drug,56
screaming,56
celebration,56
nose,56
ticket,55
hero,55
colors,55
someones,54
talks,54
neighbors,54
shirt,54
bleed,53
limit,53
saving,52
shoulders,52
bodies,51
shower,51
bedroom,51
softly,50
spoke,50
sweetheart,50
whiskey,49
whod,49
shared,49
chillin,49
survivor,48
shopping,48
girli,48
sayi,48
medicine,48
husband,48
mommy,48
kitchen,48
pink,48
pillow,47
candle,47
spoken,46
uncle,46
ye,46
liquor,45
