year,category,word,count
1965,She,princess,1
1965,She,doll,1
1965,She,mama,2
1965,She,sister,2
1965,She,gal,4
1965,She,women,4
1965,She,miss,9
1965,She,honey,13
1965,She,girls,15
1965,She,woman,15
1965,She,babe,35
1965,She,shes,40
1965,She,girl,48
1965,She,she,81
1965,She,her,98
1965,He,boyand,1
1965,He,boyfriends,1
1965,He,boys,2
1965,He,men,10
1965,He,boy,21
1965,He,him,22
1965,He,hes,24
1965,He,his,31
1965,He,man,33
1965,He,he,61
1965,CoreHe,boyand,1
1965,CoreHe,boyfriends,1
1965,CoreHe,boys,2
1965,CoreHe,men,10
1965,CoreHe,boy,21
1965,CoreHe,him,22
1965,CoreHe,hes,24
1965,CoreHe,his,31
1965,CoreHe,man,33
1965,CoreHe,he,61
1965,CoreShe,women,4
1965,CoreShe,girls,15
1965,CoreShe,woman,15
1965,CoreShe,shes,40
1965,CoreShe,girl,48
1965,CoreShe,she,81
1965,CoreShe,her,98
1965,Achiev,stronger,1
1965,Achiev,gain,1
1965,Achiev,praise,1
1965,Achiev,plan,1
1965,Achiev,control,1
1965,Achiev,tries,1
1965,Achiev,prize,1
1965,Achiev,proud,1
1965,Achiev,loser,1
1965,Achiev,workingfor,1
1965,Achiev,compete,1
1965,Achiev,finalize,1
1965,Achiev,practice,1
1965,Achiev,earned,2
1965,Achiev,proudif,2
1965,Achiev,losing,2
1965,Achiev,lead,2
1965,Achiev,strong,2
1965,Achiev,leads,2
1965,Achiev,winner,2
1965,Achiev,loses,2
1965,Achiev,tried,3
1965,Achiev,climb,3
1965,Achiev,king,4
1965,Achiev,pride,4
1965,Achiev,first,4
1965,Achiev,win,4
1965,Achiev,lose,5
1965,Achiev,beat,5
1965,Achiev,purpose,6
1965,Achiev,working,8
1965,Achiev,work,9
1965,Achiev,try,10
1965,Achiev,trying,10
1965,Achiev,best,11
1965,Achiev,lost,12
1965,Achiev,better,19
1965,Work,typed,1
1965,Work,schools,1
1965,Work,workingfor,1
1965,Work,school,1
1965,Work,finalize,1
1965,Work,practice,1
1965,Work,lead,2
1965,Work,leads,2
1965,Work,science,2
1965,Work,learned,4
1965,Work,taught,4
1965,Work,student,4
1965,Work,pay,7
1965,Work,learn,8
1965,Work,working,8
1965,Work,work,9
1965,Body,jaw,1
1965,Body,fingertips,1
1965,Body,hairs,1
1965,Body,waist,1
1965,Body,eyesahahahahah,1
1965,Body,toes,1
1965,Body,nosewhats,1
1965,Body,eyespussycat,1
1965,Body,eyeswhats,1
1965,Body,nosepussycat,1
1965,Body,lipspussycat,1
1965,Body,bodies,1
1965,Body,bony,1
1965,Body,shoulder,1
1965,Body,breath,1
1965,Body,shouldersand,1
1965,Body,shouldersif,1
1965,Body,wake,1
1965,Body,tooth,1
1965,Body,nerve,1
1965,Body,ears,1
1965,Body,mouth,1
1965,Body,spine,1
1965,Body,head,2
1965,Body,clothes,2
1965,Body,heels,2
1965,Body,sleepy,2
1965,Body,sleepless,2
1965,Body,hips,2
1965,Body,palm,2
1965,Body,eye,3
1965,Body,finger,3
1965,Body,shoes,3
1965,Body,nose,3
1965,Body,hip,3
1965,Body,lips,4
1965,Body,hands,4
1965,Body,ear,4
1965,Body,sweater,4
1965,Body,wear,6
1965,Body,hair,6
1965,Body,body,6
1965,Body,hearts,6
1965,Body,feet,7
1965,Body,knees,8
1965,Body,face,9
1965,Body,hand,11
1965,Body,eyes,15
1965,Body,arms,18
1965,Body,pussycat,20
1965,Body,heart,44
1965,See,picture,1
1965,See,beautifuls,1
1965,See,eyesahahahahah,1
1965,See,eyeswhats,1
1965,See,eyespussycat,1
1965,See,colorblind,1
1965,See,stare,1
1965,See,blind,1
1965,See,brightened,1
1965,See,square,2
1965,See,brighter,2
1965,See,watch,2
1965,See,gaze,2
1965,See,gray,2
1965,See,watched,2
1965,See,eye,3
1965,See,bright,3
1965,See,sunshine,3
1965,See,beautiful,3
1965,See,sight,3
1965,See,saw,4
1965,See,seen,5
1965,See,green,5
1965,See,looks,5
1965,See,brown,6
1965,See,shine,6
1965,See,white,7
1965,See,looking,7
1965,See,round,8
1965,See,looked,8
1965,See,blues,9
1965,See,red,14
1965,See,eyes,15
1965,See,blue,15
1965,See,look,21
1965,See,see,36
1965,Hear,songs,1
1965,Hear,rang,1
1965,Hear,listened,1
1965,Hear,rings,1
1965,Hear,speak,1
1965,Hear,soundly,1
1965,Hear,sayin,1
1965,Hear,hearing,1
1965,Hear,musicnow,1
1965,Hear,ears,1
1965,Hear,musics,1
1965,Hear,loud,2
1965,Hear,whisper,2
1965,Hear,shoutin,2
1965,Hear,whispered,2
1965,Hear,noise,3
1965,Hear,saying,3
1965,Hear,heard,3
1965,Hear,yell,3
1965,Hear,ear,4
1965,Hear,says,5
1965,Hear,hush,10
1965,Hear,listen,11
1965,Hear,ring,12
1965,Hear,music,13
1965,Hear,song,20
1965,Hear,hear,23
1965,Hear,said,35
1965,Hear,say,66
1965,Feel,rough,1
1965,Feel,fingertips,1
1965,Feel,hairs,1
1965,Feel,grip,1
1965,Feel,handful,1
1965,Feel,touched,1
1965,Feel,brush,1
1965,Feel,sand,1
1965,Feel,coldgolden,1
1965,Feel,coldhe,1
1965,Feel,felt,1
1965,Feel,fire,1
1965,Feel,soft,1
1965,Feel,silk,1
1965,Feel,squeeze,1
1965,Feel,touching,1
1965,Feel,sharp,2
1965,Feel,loosen,2
1965,Feel,loose,2
1965,Feel,scratched,2
1965,Feel,finger,3
1965,Feel,caresso,3
1965,Feel,dry,3
1965,Feel,warm,3
1965,Feel,thick,3
1965,Feel,thin,3
1965,Feel,cold,4
1965,Feel,hands,4
1965,Feel,feeling,5
1965,Feel,touch,5
