year,category,count
1965,She,195
1965,He,0
1965,CoreHe,0
1965,CoreShe,156
1965,Achiev,77
1965,Work,24
1965,Body,132
1965,See,135
1965,Hear,123
1965,Feel,75
1965,Health,100
1965,Leisure,96
1965,Home,8
1965,Money,28
1965,Social,1393
1965,Family,8
1965,Friends,23
1965,Colour,6
1966,She,227
1966,He,0
1966,CoreHe,0
1966,CoreShe,188
1966,Achiev,126
1966,Work,49
1966,Body,117
1966,See,228
1966,Hear,93
1966,Feel,122
1966,Health,78
1966,Leisure,99
1966,Home,31
1966,Money,41
1966,Social,1203
1966,Family,11
1966,Friends,10
1966,Colour,15
1967,She,157
1967,He,0
1967,CoreHe,0
1967,CoreShe,142
1967,Achiev,68
1967,Work,28
1967,Body,123
1967,See,171
1967,Hear,82
1967,Feel,92
1967,Health,66
1967,Leisure,118
1967,Home,33
1967,Money,15
1967,Social,1260
1967,Family,0
1967,Friends,16
1967,Colour,0
1968,She,124
1968,He,0
1968,CoreHe,0
1968,CoreShe,96
1968,Achiev,73
1968,Work,14
1968,Body,110
1968,See,148
1968,Hear,112
1968,Feel,152
1968,Health,84
1968,Leisure,94
1968,Home,52
1968,Money,20
1968,Social,1428
1968,Family,4
1968,Friends,27
1968,Colour,3
1969,She,159
1969,He,0
1969,CoreHe,0
1969,CoreShe,135
1969,Achiev,80
1969,Work,30
1969,Body,142
1969,See,192
1969,Hear,105
1969,Feel,139
1969,Health,97
1969,Leisure,124
1969,Home,22
1969,Money,35
1969,Social,1304
1969,Family,11
1969,Friends,31
1969,Colour,9
1970,She,207
1970,He,0
1970,CoreHe,0
1970,CoreShe,151
1970,Achiev,102
1970,Work,32
1970,Body,142
1970,See,186
1970,Hear,130
1970,Feel,122
1970,Health,79
1970,Leisure,205
1970,Home,58
1970,Money,38
1970,Social,1448
1970,Family,39
1970,Friends,32
1970,Colour,14
1971,She,267
1971,He,0
1971,CoreHe,0
1971,CoreShe,251
1971,Achiev,80
1971,Work,19
1971,Body,101
1971,See,154
1971,Hear,104
1971,Feel,72
1971,Health,55
1971,Leisure,145
1971,Home,58
1971,Money,16
1971,Social,1442
1971,Family,36
1971,Friends,22
1971,Colour,1
1972,She,55
1972,He,0
1972,CoreHe,0
1972,CoreShe,39
1972,Achiev,99
1972,Work,11
1972,Body,151
1972,See,198
1972,Hear,129
1972,Feel,88
1972,Health,84
1972,Leisure,137
1972,Home,52
1972,Money,21
1972,Social,1214
1972,Family,66
1972,Friends,22
1972,Colour,14
1973,She,77
1973,He,0
1973,CoreHe,0
1973,CoreShe,66
1973,Achiev,69
1973,Work,14
1973,Body,96
1973,See,162
1973,Hear,97
1973,Feel,131
1973,Health,73
1973,Leisure,132
1973,Home,27
1973,Money,36
1973,Social,1071
1973,Family,38
1973,Friends,17
1973,Colour,0
1974,She,130
1974,He,0
1974,CoreHe,0
1974,CoreShe,103
1974,Achiev,92
1974,Work,13
1974,Body,109
1974,See,116
1974,Hear,96
1974,Feel,130
1974,Health,59
1974,Leisure,214
1974,Home,10
1974,Money,56
1974,Social,1341
1974,Family,23
1974,Friends,13
1974,Colour,2
1975,She,113
1975,He,0
1975,CoreHe,0
1975,CoreShe,75
1975,Achiev,90
1975,Work,18
1975,Body,137
1975,See,168
1975,Hear,86
1975,Feel,170
1975,Health,49
1975,Leisure,137
1975,Home,25
1975,Money,29
1975,Social,1279
1975,Family,12
1975,Friends,94
1975,Colour,7
1976,She,259
1976,He,0
1976,CoreHe,0
1976,CoreShe,210
1976,Achiev,114
1976,Work,44
1976,Body,142
1976,See,169
1976,Hear,153
1976,Feel,160
1976,Health,150
1976,Leisure,314
1976,Home,52
1976,Money,48
1976,Social,2241
1976,Family,27
1976,Friends,37
1976,Colour,4
1977,She,163
1977,He,0
1977,CoreHe,0
1977,CoreShe,147
1977,Achiev,152
1977,Work,46
1977,Body,157
1977,See,162
1977,Hear,132
1977,Feel,221
1977,Health,81
1977,Leisure,337
1977,Home,42
1977,Money,66
1977,Social,1589
1977,Family,1
1977,Friends,13
1977,Colour,3
1978,She,140
1978,He,0
1978,CoreHe,0
1978,CoreShe,119
1978,Achiev,115
1978,Work,35
1978,Body,135
1978,See,241
1978,Hear,88
1978,Feel,159
1978,Health,121
1978,Leisure,300
1978,Home,34
1978,Money,28
1978,Social,1720
1978,Family,19
1978,Friends,50
1978,Colour,0
1979,She,119
1979,He,0
1979,CoreHe,0
1979,CoreShe,98
1979,Achiev,156
1979,Work,47
1979,Body,122
1979,See,181
1979,Hear,199
1979,Feel,178
1979,Health,146
1979,Leisure,179
1979,Home,73
1979,Money,47
1979,Social,2150
1979,Family,21
1979,Friends,29
1979,Colour,0
1980,She,92
1980,He,0
1980,CoreHe,0
1980,CoreShe,50
1980,Achiev,171
1980,Work,48
1980,Body,133
1980,See,152
1980,Hear,141
1980,Feel,117
1980,Health,145
1980,Leisure,278
1980,Home,38
1980,Money,29
1980,Social,1695
1980,Family,12
1980,Friends,54
1980,Colour,7
1981,She,89
1981,He,0
1981,CoreHe,0
1981,CoreShe,66
1981,Achiev,202
1981,Work,11
1981,Body,179
1981,See,150
1981,Hear,123
1981,Feel,168
1981,Health,102
1981,Leisure,245
1981,Home,14
1981,Money,36
1981,Social,1751
1981,Family,3
1981,Friends,31
1981,Colour,0
1982,She,165
1982,He,0
1982,CoreHe,0
1982,CoreShe,157
1982,Achiev,139
1982,Work,49
1982,Body,211
1982,See,272
1982,Hear,148
1982,Feel,230
1982,Health,98
1982,Leisure,192
1982,Home,11
1982,Money,40
1982,Social,1865
1982,Family,1
1982,Friends,17
1982,Colour,2
1983,She,206
1983,He,0
1983,CoreHe,0
1983,CoreShe,162
1983,Achiev,198
1983,Work,77
1983,Body,230
1983,See,241
1983,Hear,167
1983,Feel,176
1983,Health,139
1983,Leisure,294
1983,Home,16
1983,Money,61
1983,Social,1823
1983,Family,0
1983,Friends,39
1983,Colour,1
1984,She,167
1984,He,0
1984,CoreHe,0
1984,CoreShe,113
1984,Achiev,169
1984,Work,17
1984,Body,285
1984,See,266
1984,Hear,261
1984,Feel,211
1984,Health,157
1984,Leisure,250
1984,Home,27
1984,Money,37
1984,Social,2020
1984,Family,1
1984,Friends,32
1984,Colour,5
1985,She,139
1985,He,0
1985,CoreHe,0
1985,CoreShe,124
1985,Achiev,165
1985,Work,26
1985,Body,184
1985,See,180
1985,Hear,89
1985,Feel,374
1985,Health,110
1985,Leisure,244
1985,Home,40
1985,Money,33
1985,Social,2048
1985,Family,5
1985,Friends,59
1985,Colour,2
1986,She,99
1986,He,0
1986,CoreHe,0
1986,CoreShe,76
1986,Achiev,148
1986,Work,31
1986,Body,198
1986,See,176
1986,Hear,188
1986,Feel,191
1986,Health,127
1986,Leisure,199
1986,Home,26
1986,Money,25
1986,Social,1793
1986,Family,5
1986,Friends,33
1986,Colour,3
1987,She,108
1987,He,0
1987,CoreHe,0
1987,CoreShe,100
1987,Achiev,223
1987,Work,18
1987,Body,150
1987,See,144
1987,Hear,166
1987,Feel,186
1987,Health,141
1987,Leisure,132
1987,Home,27
1987,Money,41
1987,Social,1785
1987,Family,9
1987,Friends,37
1987,Colour,0
1988,She,155
1988,He,0
1988,CoreHe,0
1988,CoreShe,141
1988,Achiev,129
1988,Work,23
1988,Body,267
1988,See,210
1988,Hear,174
1988,Feel,227
1988,Health,125
1988,Leisure,174
1988,Home,35
1988,Money,57
1988,Social,2258
1988,Family,16
1988,Friends,31
1988,Colour,1
1989,She,240
1989,He,0
1989,CoreHe,0
1989,CoreShe,173
1989,Achiev,129
1989,Work,27
1989,Body,293
1989,See,219
1989,Hear,155
1989,Feel,222
1989,Health,206
1989,Leisure,196
1989,Home,48
1989,Money,39
1989,Social,2387
1989,Family,6
1989,Friends,43
1989,Colour,3
1990,She,161
1990,He,0
1990,CoreHe,0
1990,CoreShe,136
1990,Achiev,153
1990,Work,45
1990,Body,216
1990,See,190
1990,Hear,121
1990,Feel,177
1990,Health,215
1990,Leisure,121
1990,Home,36
1990,Money,98
1990,Social,2220
1990,Family,4
1990,Friends,73
1990,Colour,1
1991,She,74
1991,He,0
1991,CoreHe,0
1991,CoreShe,55
1991,Achiev,176
1991,Work,21
1991,Body,232
1991,See,234
1991,Hear,175
1991,Feel,260
1991,Health,141
1991,Leisure,254
1991,Home,61
1991,Money,23
1991,Social,1866
1991,Family,4
1991,Friends,19
1991,Colour,0
1992,She,91
1992,He,0
1992,CoreHe,0
1992,CoreShe,73
1992,Achiev,147
1992,Work,19
1992,Body,270
1992,See,236
1992,Hear,122
1992,Feel,199
1992,Health,109
1992,Leisure,152
1992,Home,29
1992,Money,54
1992,Social,2186
1992,Family,32
1992,Friends,54
1992,Colour,3
1993,She,121
1993,He,0
1993,CoreHe,0
1993,CoreShe,104
1993,Achiev,99
1993,Work,35
1993,Body,172
1993,See,176
1993,Hear,121
1993,Feel,151
1993,Health,175
1993,Leisure,166
1993,Home,38
1993,Money,36
1993,Social,1932
1993,Family,11
1993,Friends,63
1993,Colour,2
1994,She,75
1994,He,0
1994,CoreHe,0
1994,CoreShe,60
1994,Achiev,132
1994,Work,24
1994,Body,184
1994,See,242
1994,Hear,167
1994,Feel,177
1994,Health,152
1994,Leisure,108
1994,Home,37
1994,Money,8
1994,Social,1927
1994,Family,6
1994,Friends,46
1994,Colour,4
1995,She,191
1995,He,0
