word,count
you,35817
love,9521
your,8443
we,5648
she,5199
say,4992
her,4809
girl,4232
youre,4218
see,2679
ill,2544
feel,2254
eyes,2148
shes,2064
heart,1896
tell,1767
said,1732
life,1648
hear,1462
they,1446
hands,1102
our,1087
woman,1014
hand,976
hey,918
lets,909
us,898
song,896
look,890
who,856
youll,854
dance,842
better,825
ya,729
youve,725
honey,693
try,677
round,670
home,669
show,668
hard,663
work,648
music,622
feeling,595
body,585
dream,568
someone,560
lover,554
touch,548
them,540
rock,537
party,528
miss,506
head,499
talk,496
people,489
name,487
face,482
money,434
fire,430
best,430
dreams,423
play,422
listen,412
free,391
hair,390
hot,385
babe,380
arms,380
friends,380
heard,376
help,374
looking,372
girls,366
lost,364
lose,355
beautiful,354
door,352
sing,345
told,340
easy,340
pain,336
watch,331
first,331
loving,321
lovers,314
friend,307
somebody,299
eye,298
beat,294
weve,294
strong,292
says,288
youd,283
cold,269
shine,269
trying,268
game,266
sleep,264
alive,260
pay,256
loved,255
living,254
dancing,253
feels,249
saying,246
sound,244
tried,243
white,242
control,239
blue,238
black,236
their,235
lead,234
lady,233
seen,232
loves,232
whos,232
bitch,230
bright,226
shit,223
tight,215
saw,214
blind,212
wake,209
songs,206
felt,205
hearts,204
theyre,200
running,195
meet,194
lips,189
family,183
tired,177
feet,172
cool,171
bed,169
mama,168
skin,168
room,168
met,167
speak,166
ma,164
celebrate,164
spend,162
read,160
share,160
feelings,157
queen,156
mother,156
learn,153
watching,150
top,150
sunshine,149
telling,149
yours,148
boom,148
breath,147
yall,146
house,145
worth,145
talking,144
giving,141
sayin,138
perfect,136
wed,135
club,134
working,132
ring,130
red,129
breathe,128
write,126
drink,124
warm,120
dreaming,117
women,114
phone,114
dancin,113
hello,113
shining,108
games,107
harder,106
ass,106
voice,104
power,103
losing,103
win,102
secret,99
chorus,99
sight,97
sister,96
pretend,96
loud,96
playing,94
story,92
wife,92
window,92
knees,91
stronger,91
learned,89
finger,88
looks,88
bet,87
radio,87
momma,86
pride,85
shout,84
girlfriend,84
number,84
chick,83
wear,83
fingers,82
pa,82
looked,81
theyll,81
mr,80
ball,80
rough,79
daddy,79
whisper,79
send,79
wine,77
clothes,77
dj,77
listening,76
played,74
strength,74
poison,74
scream,74
blood,72
buy,72
band,70
secrets,70
son,70
picture,69
survive,68
team,68
blues,67
wash,66
climb,66
ahead,66
guy,65
shoes,64
drunk,64
hanging,63
mouth,63
spent,62
somebodys,61
singing,61
plans,61
tender,60
ear,60
check,59
theyve,59
quit,59
fever,59
sick,58
school,58
beauty,57
hip,57
fantasy,57
hangin,57
weak,56
plays,56
works,56
brother,55
price,55
type,54
dry,53
sounds,52
brighter,52
praise,52
asleep,51
sweat,51
grab,51
rich,50
kids,49
green,49
sleeping,48
dreamin,48
telephone,48
faces,48
dreamed,48
brown,48
tongue,47
bar,46
leads,46
loose,46
louder,46
foot,45
stare,45
taught,45
bodys,45
hero,45
staring,45
teach,44
sunlight,44
sand,43
touched,42
blinded,42
wrote,42
married,42
shinin,42
danced,42
silence,41
voices,41
book,41
dime,41
garden,40
movie,40
letter,40
breathing,40
guitar,40
guys,40
ladies,40
private,40
sang,40
sent,40
paper,40
shoulder,39
ticket,39
proud,39
ourselves,39
shower,39
welcome,39
bleeding,39
celebration,38
musics,38
shared,38
fat,38
hush,37
kid,37
seeing,37
legs,37
tv,37
bills,37
soft,36
herself,36
bones,36
jazz,36
begging,36
cash,36
tenderness,36
view,35
whod,35
addicted,35
colors,35
rings,35
thick,35
learning,34
gray,34
brain,34
daddys,34
sending,33
limit,33
drama,33
color,32
bodies,32
clean,32
beach,32
physical,32
touching,32
king,31
someones,31
drum,31
questions,31
stereo,31
softly,31
toes,30
eyed,30
worked,30
dick,30
hearing,30
quiet,30
self,30
ears,30
naked,30
bathroom,30
yellow,29
owe,29
heels,29
dollars,29
saving,29
