year,category,word,count
1965,She,mama,1
1965,She,girls,3
1965,She,gal,4
1965,She,honey,7
1965,She,miss,8
1965,She,babe,19
1965,She,girl,25
1965,She,shes,25
1965,She,she,49
1965,She,her,54
1965,CoreShe,girls,3
1965,CoreShe,girl,25
1965,CoreShe,shes,25
1965,CoreShe,she,49
1965,CoreShe,her,54
1965,Achiev,stronger,1
1965,Achiev,gain,1
1965,Achiev,praise,1
1965,Achiev,earned,1
1965,Achiev,tries,1
1965,Achiev,loser,1
1965,Achiev,compete,1
1965,Achiev,finalize,1
1965,Achiev,climb,2
1965,Achiev,proudif,2
1965,Achiev,losing,2
1965,Achiev,tried,2
1965,Achiev,work,2
1965,Achiev,winner,2
1965,Achiev,loses,2
1965,Achiev,pride,3
1965,Achiev,beat,3
1965,Achiev,lose,4
1965,Achiev,first,4
1965,Achiev,win,4
1965,Achiev,better,6
1965,Achiev,try,6
1965,Achiev,trying,8
1965,Achiev,lost,8
1965,Achiev,best,9
1965,Work,typed,1
1965,Work,finalize,1
1965,Work,work,2
1965,Work,science,2
1965,Work,pay,3
1965,Work,learned,4
1965,Work,student,4
1965,Work,learn,7
1965,Body,jaw,1
1965,Body,fingertips,1
1965,Body,hairs,1
1965,Body,finger,1
1965,Body,nosewhats,1
1965,Body,eyespussycat,1
1965,Body,eyeswhats,1
1965,Body,nosepussycat,1
1965,Body,nose,1
1965,Body,lipspussycat,1
1965,Body,bony,1
1965,Body,shouldersand,1
1965,Body,shouldersif,1
1965,Body,hips,1
1965,Body,wake,1
1965,Body,sweater,1
1965,Body,mouth,1
1965,Body,wear,2
1965,Body,hands,2
1965,Body,hearts,3
1965,Body,lips,4
1965,Body,feet,4
1965,Body,hair,4
1965,Body,hand,6
1965,Body,body,6
1965,Body,face,7
1965,Body,knees,8
1965,Body,eyes,9
1965,Body,arms,9
1965,Body,pussycat,20
1965,Body,heart,31
1965,See,beautifuls,1
1965,See,seen,1
1965,See,watch,1
1965,See,eyeswhats,1
1965,See,eyespussycat,1
1965,See,green,1
1965,See,blind,1
1965,See,brightened,1
1965,See,square,2
1965,See,saw,2
1965,See,brighter,2
1965,See,beautiful,2
1965,See,gaze,2
1965,See,bright,3
1965,See,shine,5
1965,See,looking,5
1965,See,looks,5
1965,See,blues,6
1965,See,round,6
1965,See,brown,6
1965,See,white,6
1965,See,eyes,9
1965,See,red,11
1965,See,look,15
1965,See,blue,15
1965,See,see,25
1965,Hear,noise,1
1965,Hear,songs,1
1965,Hear,rings,1
1965,Hear,heard,1
1965,Hear,speak,1
1965,Hear,soundly,1
1965,Hear,loud,1
1965,Hear,hearing,1
1965,Hear,musicnow,1
1965,Hear,musics,1
1965,Hear,whisper,2
1965,Hear,saying,3
1965,Hear,yell,3
1965,Hear,says,3
1965,Hear,listen,6
1965,Hear,said,8
1965,Hear,music,9
1965,Hear,ring,10
1965,Hear,song,15
1965,Hear,hear,20
1965,Hear,say,34
1965,Feel,rough,1
1965,Feel,fingertips,1
1965,Feel,hairs,1
1965,Feel,finger,1
1965,Feel,fire,1
1965,Feel,soft,1
1965,Feel,touching,1
1965,Feel,tight,2
1965,Feel,sharp,2
1965,Feel,feels,2
1965,Feel,dry,2
1965,Feel,hands,2
1965,Feel,thick,2
1965,Feel,thin,2
1965,Feel,loosen,2
1965,Feel,loose,2
1965,Feel,scratched,2
1965,Feel,caresso,3
1965,Feel,feeling,3
1965,Feel,touch,3
1965,Feel,hair,4
1965,Feel,hand,6
1965,Feel,round,6
1965,Feel,hard,8
1965,Feel,feel,15
1965,Health,number,1
1965,Health,tenderness,1
1965,Health,sick,1
1965,Health,weak,1
1965,Health,tender,1
1965,Health,blind,1
1965,Health,doctor,1
1965,Health,ache,1
1965,Health,painful,1
1965,Health,pains,2
1965,Health,living,2
1965,Health,wounds,3
1965,Health,pain,3
1965,Health,life,17
1965,Health,tired,18
1965,Health,ill,46
1965,Leisure,shows,1
1965,Leisure,guitar,1
1965,Leisure,songs,1
1965,Leisure,dreaming,1
1965,Leisure,singing,1
1965,Leisure,symphony,1
1965,Leisure,chatter,1
1965,Leisure,dancin,1
1965,Leisure,hanging,1
1965,Leisure,artist,1
1965,Leisure,joke,1
1965,Leisure,party,1
1965,Leisure,danced,1
1965,Leisure,musicnow,1
1965,Leisure,musics,1
1965,Leisure,band,1
1965,Leisure,beach,1
1965,Leisure,movie,2
1965,Leisure,dancing,2
1965,Leisure,book,2
1965,Leisure,sing,3
1965,Leisure,rock,3
1965,Leisure,dance,4
1965,Leisure,show,4
1965,Leisure,dreams,4
1965,Leisure,play,4
1965,Leisure,dream,4
1965,Leisure,easy,5
1965,Leisure,game,6
1965,Leisure,music,9
1965,Leisure,ticket,12
1965,Leisure,song,15
1965,Home,rent,1
1965,Home,doors,2
1965,Home,door,2
1965,Home,home,3
1965,Money,moneys,1
1965,Money,rent,1
1965,Money,buy,1
1965,Money,bought,1
1965,Money,worth,1
1965,Money,fortune,1
1965,Money,spend,1
1965,Money,wager,1
1965,Money,spent,2
1965,Money,price,2
1965,Money,pay,3
1965,Money,fee,6
1965,Money,free,7
1965,Social,welcome,1
1965,Social,ma,1
1965,Social,praise,1
1965,Social,guy,1
1965,Social,willing,1
1965,Social,story,1
1965,Social,write,1
1965,Social,hello,1
1965,Social,telling,1
1965,Social,humans,1
1965,Social,heard,1
1965,Social,speak,1
1965,Social,tells,1
1965,Social,whod,1
1965,Social,theyll,1
1965,Social,loving,1
1965,Social,party,1
1965,Social,share,1
1965,Social,hearing,1
1965,Social,talking,1
1965,Social,kin,1
1965,Social,whos,1
1965,Social,human,1
1965,Social,letter,2
1965,Social,wed,2
1965,Social,lovers,2
1965,Social,talk,2
1965,Social,their,2
1965,Social,weve,2
1965,Social,someones,2
1965,Social,somebody,3
1965,Social,whose,3
1965,Social,mrs,3
1965,Social,saying,3
1965,Social,message,3
1965,Social,loves,3
1965,Social,met,3
1965,Social,theyre,3
1965,Social,says,3
1965,Social,who,4
1965,Social,people,4
1965,Social,youd,4
1965,Social,send,4
1965,Social,listen,6
1965,Social,ya,6
1965,Social,lets,7
1965,Social,wedding,7
1965,Social,meet,7
1965,Social,honey,7
1965,Social,said,8
1965,Social,told,10
1965,Social,lady,10
1965,Social,them,11
1965,Social,loved,11
1965,Social,hey,11
1965,Social,our,12
1965,Social,youve,14
1965,Social,yours,15
1965,Social,someone,16
1965,Social,youll,17
1965,Social,us,17
1965,Social,help,20
1965,Social,hear,20
1965,Social,name,22
1965,Social,they,24
1965,Social,shes,25
1965,Social,youre,32
1965,Social,say,34
1965,Social,we,38
1965,Social,tell,38
1965,Social,she,49
1965,Social,her,54
1965,Social,your,132
1965,Social,love,189
1965,Social,you,444
1965,Family,ma,1
1965,Family,brothers,1
1965,Family,daddy,1
1965,Family,kin,1
1965,Family,daughter,4
1965,Friends,friend,1
1965,Friends,buddy,1
1965,Friends,lovers,2
1965,Friends,honey,7
1965,Friends,friends,12
1965,Colour,white,6
1966,She,honey,1
1966,She,gal,1
1966,She,sister,1
1966,She,hers,2
1966,She,mama,4
1966,She,miss,5
1966,She,girls,9
1966,She,woman,13
1966,She,shes,26
1966,She,babe,27
1966,She,her,33
1966,She,girl,46
1966,She,she,59
1966,CoreShe,hers,2
1966,CoreShe,girls,9
1966,CoreShe,woman,13
1966,CoreShe,shes,26
1966,CoreShe,her,33
1966,CoreShe,girl,46
1966,CoreShe,she,59
1966,Achiev,lesson,1
1966,Achiev,pride,1
1966,Achiev,ranks,1
1966,Achiev,hero,1
1966,Achiev,perfecting,1
1966,Achiev,strongonly,1
1966,Achiev,strongcoming,1
1966,Achiev,strongi,1
1966,Achiev,strongpain,1
1966,Achiev,worked,1
1966,Achiev,trying,1
1966,Achiev,compete,1
1966,Achiev,climbin,1
1966,Achiev,top,2
1966,Achiev,strength,2
1966,Achiev,beat,2
1966,Achiev,control,2
1966,Achiev,able,2
1966,Achiev,stronger,2
1966,Achiev,lost,3
1966,Achiev,best,5
1966,Achiev,first,5
1966,Achiev,lose,5
1966,Achiev,tried,6
1966,Achiev,try,7
1966,Achiev,won,7
1966,Achiev,strong,10
1966,Achiev,work,14
1966,Achiev,better,15
1966,Achiev,working,24
1966,Work,teach,1
1966,Work,school,1
1966,Work,tax,1
1966,Work,worked,1
1966,Work,trade,1
1966,Work,job,1
1966,Work,pay,2
1966,Work,learned,3
1966,Work,work,14
1966,Work,working,24
1966,Body,shoulder,1
1966,Body,heads,1
1966,Body,feet,1
1966,Body,sensation,1
1966,Body,ear,1
1966,Body,breathing,1
1966,Body,hearts,1
1966,Body,sleep,1
1966,Body,breathingdont,1
1966,Body,ears,1
1966,Body,womb,1
1966,Body,naked,1
1966,Body,shirt,1
1966,Body,shoe,1
1966,Body,hands,1
1966,Body,bony,1
1966,Body,hips,1
1966,Body,asleep,1
1966,Body,itchyand,1
1966,Body,neck,2
1966,Body,hair,2
1966,Body,sleeping,2
1966,Body,wake,3
1966,Body,head,3
1966,Body,lips,3
1966,Body,eye,3
1966,Body,brain,3
1966,Body,clothes,5
1966,Body,arms,6
1966,Body,face,7
1966,Body,skin,10
1966,Body,hand,11
1966,Body,eyes,14
1966,Body,heart,24
1966,See,glances,1
1966,See,sunlight,1
1966,See,colorful,1
1966,See,gazing,1
1966,See,sightim,1
1966,See,sightshes,1
1966,See,view,1
1966,See,color,1
1966,See,shiningif,1
1966,See,blueif,1
1966,See,grey,1
1966,See,glance,2
1966,See,watched,2
1966,See,colors,2
1966,See,stared,2
1966,See,seen,2
1966,See,looks,2
1966,See,bluei,2
1966,See,watch,3
1966,See,beauty,3
1966,See,green,3
