year,category,count
1965,She,0
1965,He,69
1965,CoreHe,69
1965,CoreShe,0
1965,Achiev,58
1965,Work,25
1965,Body,106
1965,See,69
1965,Hear,106
1965,Feel,56
1965,Health,74
1965,Leisure,72
1965,Home,21
1965,Money,26
1965,Social,1075
1965,Family,5
1965,Friends,20
1965,Colour,1
1966,She,0
1966,He,70
1966,CoreHe,70
1966,CoreShe,0
1966,Achiev,97
1966,Work,73
1966,Body,70
1966,See,162
1966,Hear,91
1966,Feel,101
1966,Health,68
1966,Leisure,93
1966,Home,45
1966,Money,22
1966,Social,864
1966,Family,3
1966,Friends,9
1966,Colour,2
1967,She,0
1967,He,61
1967,CoreHe,61
1967,CoreShe,0
1967,Achiev,61
1967,Work,15
1967,Body,98
1967,See,131
1967,Hear,98
1967,Feel,43
1967,Health,41
1967,Leisure,89
1967,Home,17
1967,Money,8
1967,Social,1007
1967,Family,0
1967,Friends,11
1967,Colour,1
1968,She,0
1968,He,85
1968,CoreHe,85
1968,CoreShe,0
1968,Achiev,86
1968,Work,33
1968,Body,101
1968,See,173
1968,Hear,191
1968,Feel,93
1968,Health,56
1968,Leisure,122
1968,Home,41
1968,Money,33
1968,Social,1198
1968,Family,10
1968,Friends,6
1968,Colour,29
1969,She,0
1969,He,65
1969,CoreHe,65
1969,CoreShe,0
1969,Achiev,82
1969,Work,17
1969,Body,57
1969,See,141
1969,Hear,78
1969,Feel,68
1969,Health,71
1969,Leisure,100
1969,Home,13
1969,Money,29
1969,Social,912
1969,Family,11
1969,Friends,10
1969,Colour,3
1970,She,0
1970,He,80
1970,CoreHe,80
1970,CoreShe,0
1970,Achiev,82
1970,Work,25
1970,Body,85
1970,See,135
1970,Hear,100
1970,Feel,76
1970,Health,57
1970,Leisure,117
1970,Home,46
1970,Money,33
1970,Social,1051
1970,Family,30
1970,Friends,26
1970,Colour,15
1971,She,0
1971,He,142
1971,CoreHe,142
1971,CoreShe,0
1971,Achiev,78
1971,Work,27
1971,Body,95
1971,See,110
1971,Hear,112
1971,Feel,95
1971,Health,79
1971,Leisure,131
1971,Home,50
1971,Money,31
1971,Social,1022
1971,Family,34
1971,Friends,24
1971,Colour,1
1972,She,0
1972,He,63
1972,CoreHe,63
1972,CoreShe,0
1972,Achiev,87
1972,Work,9
1972,Body,127
1972,See,166
1972,Hear,118
1972,Feel,84
1972,Health,80
1972,Leisure,129
1972,Home,48
1972,Money,26
1972,Social,1175
1972,Family,49
1972,Friends,15
1972,Colour,14
1973,She,0
1973,He,179
1973,CoreHe,179
1973,CoreShe,0
1973,Achiev,92
1973,Work,15
1973,Body,87
1973,See,114
1973,Hear,103
1973,Feel,110
1973,Health,70
1973,Leisure,175
1973,Home,18
1973,Money,44
1973,Social,942
1973,Family,16
1973,Friends,38
1973,Colour,0
1974,She,0
1974,He,23
1974,CoreHe,23
1974,CoreShe,0
1974,Achiev,90
1974,Work,5
1974,Body,66
1974,See,78
1974,Hear,63
1974,Feel,89
1974,Health,61
1974,Leisure,129
1974,Home,11
1974,Money,19
1974,Social,981
1974,Family,41
1974,Friends,13
1974,Colour,4
1975,She,0
1975,He,94
1975,CoreHe,93
1975,CoreShe,0
1975,Achiev,94
1975,Work,26
1975,Body,97
1975,See,163
1975,Hear,73
1975,Feel,78
1975,Health,40
1975,Leisure,110
1975,Home,17
1975,Money,22
1975,Social,1093
1975,Family,29
1975,Friends,60
1975,Colour,1
1976,She,0
1976,He,30
1976,CoreHe,30
1976,CoreShe,0
1976,Achiev,74
1976,Work,32
1976,Body,97
1976,See,103
1976,Hear,152
1976,Feel,113
1976,Health,76
1976,Leisure,276
1976,Home,14
1976,Money,21
1976,Social,1418
1976,Family,16
1976,Friends,12
1976,Colour,12
1977,She,0
1977,He,48
1977,CoreHe,48
1977,CoreShe,0
1977,Achiev,119
1977,Work,45
1977,Body,115
1977,See,102
1977,Hear,74
1977,Feel,145
1977,Health,70
1977,Leisure,247
1977,Home,18
1977,Money,37
1977,Social,971
1977,Family,5
1977,Friends,6
1977,Colour,2
1978,She,0
1978,He,66
1978,CoreHe,66
1978,CoreShe,0
1978,Achiev,100
1978,Work,37
1978,Body,108
1978,See,212
1978,Hear,76
1978,Feel,132
1978,Health,71
1978,Leisure,301
1978,Home,34
1978,Money,25
1978,Social,1395
1978,Family,15
1978,Friends,30
1978,Colour,2
1979,She,0
1979,He,81
1979,CoreHe,81
1979,CoreShe,0
1979,Achiev,139
1979,Work,51
1979,Body,103
1979,See,107
1979,Hear,134
1979,Feel,172
1979,Health,109
1979,Leisure,173
1979,Home,65
1979,Money,35
1979,Social,1578
1979,Family,17
1979,Friends,18
1979,Colour,0
1980,She,0
1980,He,49
1980,CoreHe,49
1980,CoreShe,0
1980,Achiev,97
1980,Work,32
1980,Body,87
1980,See,130
1980,Hear,119
1980,Feel,99
1980,Health,107
1980,Leisure,184
1980,Home,43
1980,Money,18
1980,Social,1237
1980,Family,8
1980,Friends,13
1980,Colour,1
1981,She,0
1981,He,89
1981,CoreHe,89
1981,CoreShe,0
1981,Achiev,135
1981,Work,18
1981,Body,168
1981,See,154
1981,Hear,133
1981,Feel,172
1981,Health,81
1981,Leisure,239
1981,Home,19
1981,Money,56
1981,Social,1662
1981,Family,3
1981,Friends,24
1981,Colour,0
1982,She,0
1982,He,84
1982,CoreHe,84
1982,CoreShe,0
1982,Achiev,136
1982,Work,54
1982,Body,149
1982,See,159
1982,Hear,142
1982,Feel,178
1982,Health,95
1982,Leisure,204
1982,Home,29
1982,Money,34
1982,Social,1576
1982,Family,2
1982,Friends,13
1982,Colour,1
1983,She,0
1983,He,83
1983,CoreHe,82
1983,CoreShe,0
1983,Achiev,196
1983,Work,46
1983,Body,226
1983,See,152
1983,Hear,168
1983,Feel,153
1983,Health,82
1983,Leisure,262
1983,Home,21
1983,Money,26
1983,Social,1727
1983,Family,4
1983,Friends,20
1983,Colour,1
1984,She,0
1984,He,36
1984,CoreHe,36
1984,CoreShe,0
1984,Achiev,162
1984,Work,23
1984,Body,218
1984,See,250
1984,Hear,200
1984,Feel,175
1984,Health,124
1984,Leisure,232
1984,Home,39
1984,Money,35
1984,Social,1510
1984,Family,3
1984,Friends,28
1984,Colour,4
1985,She,0
1985,He,78
1985,CoreHe,78
1985,CoreShe,0
1985,Achiev,158
1985,Work,25
1985,Body,174
1985,See,171
1985,Hear,97
1985,Feel,291
1985,Health,120
1985,Leisure,240
1985,Home,35
1985,Money,54
1985,Social,1697
1985,Family,10
1985,Friends,9
1985,Colour,3
1986,She,0
1986,He,100
1986,CoreHe,100
1986,CoreShe,0
1986,Achiev,141
1986,Work,33
1986,Body,231
1986,See,167
1986,Hear,197
1986,Feel,190
1986,Health,154
1986,Leisure,227
1986,Home,44
1986,Money,34
1986,Social,1806
1986,Family,18
1986,Friends,34
1986,Colour,4
1987,She,0
1987,He,43
1987,CoreHe,43
1987,CoreShe,0
1987,Achiev,215
1987,Work,35
1987,Body,210
1987,See,200
1987,Hear,157
1987,Feel,185
1987,Health,182
1987,Leisure,152
1987,Home,26
1987,Money,64
1987,Social,1784
1987,Family,12
1987,Friends,31
1987,Colour,0
1988,She,0
1988,He,65
1988,CoreHe,65
1988,CoreShe,0
1988,Achiev,100
1988,Work,26
1988,Body,222
1988,See,212
1988,Hear,146
1988,Feel,162
1988,Health,101
1988,Leisure,118
1988,Home,21
1988,Money,43
1988,Social,2027
1988,Family,10
1988,Friends,17
1988,Colour,1
1989,She,0
1989,He,63
1989,CoreHe,63
1989,CoreShe,0
1989,Achiev,165
1989,Work,33
1989,Body,283
1989,See,187
1989,Hear,167
1989,Feel,201
1989,Health,174
1989,Leisure,183
1989,Home,69
1989,Money,30
1989,Social,2091
1989,Family,9
1989,Friends,15
1989,Colour,3
1990,She,0
1990,He,70
1990,CoreHe,70
1990,CoreShe,0
1990,Achiev,157
1990,Work,33
1990,Body,144
1990,See,121
1990,Hear,82
1990,Feel,114
1990,Health,121
1990,Leisure,69
1990,Home,28
1990,Money,66
1990,Social,1405
1990,Family,9
1990,Friends,42
1990,Colour,1
1991,She,0
1991,He,89
1991,CoreHe,89
1991,CoreShe,0
1991,Achiev,171
1991,Work,40
1991,Body,235
1991,See,255
1991,Hear,181
1991,Feel,240
1991,Health,119
1991,Leisure,218
1991,Home,69
1991,Money,30
1991,Social,1789
1991,Family,5
1991,Friends,18
1991,Colour,4
1992,She,0
1992,He,83
1992,CoreHe,83
1992,CoreShe,0
1992,Achiev,149
1992,Work,25
1992,Body,258
1992,See,207
1992,Hear,138
1992,Feel,205
1992,Health,97
1992,Leisure,156
1992,Home,55
1992,Money,65
1992,Social,1906
1992,Family,64
1992,Friends,60
1992,Colour,4
1993,She,0
1993,He,133
1993,CoreHe,133
1993,CoreShe,0
1993,Achiev,147
1993,Work,34
1993,Body,169
1993,See,148
1993,Hear,144
1993,Feel,162
1993,Health,153
1993,Leisure,118
1993,Home,50
1993,Money,73
1993,Social,1694
1993,Family,33
1993,Friends,60
1993,Colour,3
1994,She,0
1994,He,58
1994,CoreHe,57
1994,CoreShe,0
1994,Achiev,146
1994,Work,37
1994,Body,184
1994,See,212
1994,Hear,145
1994,Feel,198
1994,Health,173
1994,Leisure,110
1994,Home,44
1994,Money,17
1994,Social,1739
1994,Family,6
1994,Friends,39
1994,Colour,3
1995,She,0
1995,He,148
1995,CoreHe,148
1995,CoreShe,0
1995,Achiev,169
1995,Work,34
1995,Body,199
1995,See,204
1995,Hear,202
1995,Feel,156
1995,Health,144
1995,Leisure,139
1995,Home,46
1995,Money,69
1995,Social,2002
1995,Family,16
1995,Friends,30
1995,Colour,5
1996,She,0
1996,He,30
1996,CoreHe,30
1996,CoreShe,0
1996,Achiev,68
1996,Work,13
1996,Body,106
1996,See,165
1996,Hear,91
1996,Feel,100
1996,Health,147
1996,Leisure,111
1996,Home,24
1996,Money,45
1996,Social,1164
1996,Family,22
1996,Friends,39
1996,Colour,2
1997,She,0
1997,He,30
1997,CoreHe,30
1997,CoreShe,0
1997,Achiev,123
1997,Work,27
1997,Body,162
1997,See,148
1997,Hear,80
1997,Feel,124
1997,Health,99
1997,Leisure,151
1997,Home,34
1997,Money,34
1997,Social,1232
1997,Family,12
1997,Friends,23
1997,Colour,3
1998,She,0
1998,He,97
1998,CoreHe,97
1998,CoreShe,0
1998,Achiev,113
1998,Work,11
1998,Body,177
1998,See,136
1998,Hear,103
1998,Feel,122
1998,Health,108
1998,Leisure,135
1998,Home,32
1998,Money,19
1998,Social,1531
1998,Family,9
1998,Friends,20
1998,Colour,6
1999,She,0
1999,He,50
1999,CoreHe,50
1999,CoreShe,0
1999,Achiev,149
1999,Work,63
1999,Body,200
1999,See,146
1999,Hear,172
1999,Feel,184
1999,Health,119
1999,Leisure,162
1999,Home,30
1999,Money,105
1999,Social,1824
1999,Family,22
1999,Friends,16
1999,Colour,1
2000,She,0
2000,He,23
2000,CoreHe,23
2000,CoreShe,0
2000,Achiev,212
2000,Work,33
2000,Body,162
2000,See,139
2000,Hear,95
2000,Feel,181
2000,Health,104
2000,Leisure,156
2000,Home,34
2000,Money,25
2000,Social,1543
2000,Family,10
2000,Friends,33
2000,Colour,0
2001,She,0
2001,He,69
2001,CoreHe,68
2001,CoreShe,0
2001,Achiev,101
2001,Work,13
2001,Body,161
2001,See,137
2001,Hear,80
2001,Feel,120
2001,Health,113
2001,Leisure,226
2001,Home,134
2001,Money,79
2001,Social,1214
2001,Family,16
2001,Friends,16
2001,Colour,3
2002,She,0
2002,He,63
2002,CoreHe,62
2002,CoreShe,0
2002,Achiev,148
2002,Work,36
2002,Body,194
2002,See,175
2002,Hear,85
2002,Feel,175
2002,Health,169
2002,Leisure,165
2002,Home,20
2002,Money,34
2002,Social,1369
2002,Family,2
2002,Friends,8
2002,Colour,2
2003,She,0
2003,He,32
2003,CoreHe,32
2003,CoreShe,0
2003,Achiev,104
2003,Work,25
2003,Body,123
2003,See,96
2003,Hear,49
2003,Feel,59
2003,Health,82
2003,Leisure,77
2003,Home,31
2003,Money,27
2003,Social,722
2003,Family,5
2003,Friends,9
2003,Colour,2
2004,She,0
2004,He,52
2004,CoreHe,52
2004,CoreShe,0
2004,Achiev,113
2004,Work,34
2004,Body,72
2004,See,44
2004,Hear,59
2004,Feel,65
2004,Health,95
2004,Leisure,63
2004,Home,23
2004,Money,35
2004,Social,761
2004,Family,13
2004,Friends,4
2004,Colour,5
