word,count
roundwell,2
blindand,6
baker,1
pain,250
songso,2
artists,2
skills,1
talk,273
friendim,2
saytake,4
bars,10
dryconvinced,1
unemployment,1
wash,70
scrapeyou,1
sensation,32
liquor,2
eyesswallow,2
bodyoh,1
silence,31
saythat,4
strongoh,3
showerall,1
closet,4
freezes,1
advanced,1
shits,2
sends,5
silently,5
garden,66
touchive,1
banking,1
toes,19
paperthin,1
wine,45
boyoh,2
lawn,3
fatter,2
loosefootloose,1
check,34
eyesnow,2
eyesahahahahah,2
dreamsin,1
danceif,1
door,258
meditate,1
eyed,6
whispered,9
harder,32
living,239
pooping,1
radioif,1
sayingwe,2
creation,7
secret,119
band,91
performed,1
fantasies,13
flesh,13
toxicintoxicate,1
sayyou,6
books,9
relationships,1
limits,2
grad,1
saytheres,2
sofa,2
feeling,422
sing,257
gamesso,1
bar,28
hed,48
songits,2
sweeper,8
eyeswhatever,2
armsive,1
theirs,5
sleeping,58
controlyour,2
hairy,2
clothes,42
hanging,75
fantasize,2
masters,2
dad,25
traveled,7
gardeni,4
checkers,1
body,295
sold,19
refused,1
chestyou,2
seen,153
victorythough,1
hardersweet,1
shoebox,1
wifetalk,2
touchartpop,1
soft,19
checking,7
goal,6
moneyso,1
moms,2
doorcause,1
achieved,1
eyeswere,2
graduations,1
eyewell,2
mate,6
controlso,1
friend,283
paystill,2
bodyboy,1
somebodysomeone,4
championon,1
sore,3
pretenders,1
advantage,4
songrolling,2
dr,3
dreamsonce,1
grade,1
warmth,10
discount,1
touchwhy,1
kin,2
songwe,2
sayim,2
eyes,1542
cooky,1
pimple,1
loudjust,3
black,212
friendred,1
saycome,4
boys,324
armsif,1
tightrope,2
soundtrack,4
hi,7
secrets,59
saywalking,2
dry,38
breathit,1
cooli,3
roundupside,4
face,371
gamelets,2
dancefor,1
sayinchorus,2
silent,9
watch,255
surgery,2
travel,21
chronic,2
hangover,1
looker,1
dreamin,55
dreamers,3
meetingiz,2
strongbaby,2
cruisin,23
perfectlythere,1
dreamis,4
blues,54
work,410
eyein,2
soundtracksource,1
songyeah,4
sayshalala,4
silencewhen,1
legalize,12
celebrating,4
herowould,2
strokes,6
keg,3
bodytouch,1
attempts,1
ring,60
telephone,34
sounded,5
touchoh,3
hotel,13
king,37
arts,2
survivego,2
managing,1
secretary,1
choked,1
prick,1
shouted,5
reward,2
keyboard,2
brownstone,1
rang,11
trade,20
stroke,102
hospital,1
clubin,2
vacations,1
boywhen,2
speakers,10
someonesomeone,1
conquered,1
buys,2
leaders,4
bones,35
gamble,1
learnt,4
learngive,1
loverlike,2
teach,47
veinsand,1
greener,5
color,32
tells,13
paperback,21
wealth,1
reportedly,2
provide,1
rent,18
offering,1
planned,17
worked,32
families,6
traded,14
stomach,1
movie,11
powers,5
strongernnow,1
broom,2
painful,4
xrays,1
freeze,8
saycest,4
bought,18
housework,1
dadadaday,3
swelling,1
tvi,1
bargained,4
brotherin,1
