year,category,word,count
1965,He,boyand,1
1965,He,men,3
1965,He,him,6
1965,He,his,6
1965,He,hes,8
1965,He,man,10
1965,He,boy,12
1965,He,he,23
1965,CoreHe,boyand,1
1965,CoreHe,men,3
1965,CoreHe,him,6
1965,CoreHe,his,6
1965,CoreHe,hes,8
1965,CoreHe,man,10
1965,CoreHe,boy,12
1965,CoreHe,he,23
1965,Achiev,stronger,1
1965,Achiev,gain,1
1965,Achiev,praise,1
1965,Achiev,control,1
1965,Achiev,lead,1
1965,Achiev,pride,1
1965,Achiev,compete,1
1965,Achiev,finalize,1
1965,Achiev,losing,1
1965,Achiev,tried,1
1965,Achiev,beat,2
1965,Achiev,best,2
1965,Achiev,leads,2
1965,Achiev,climb,2
1965,Achiev,win,2
1965,Achiev,king,3
1965,Achiev,try,3
1965,Achiev,lose,4
1965,Achiev,first,4
1965,Achiev,better,6
1965,Achiev,trying,8
1965,Achiev,lost,10
1965,Work,lead,1
1965,Work,school,1
1965,Work,finalize,1
1965,Work,pay,2
1965,Work,leads,2
1965,Work,science,2
1965,Work,learned,2
1965,Work,taught,3
1965,Work,student,4
1965,Work,learn,7
1965,Body,fingertips,1
1965,Body,clothes,1
1965,Body,waist,1
1965,Body,eyesahahahahah,1
1965,Body,toes,1
1965,Body,nosewhats,1
1965,Body,eyespussycat,1
1965,Body,eyeswhats,1
1965,Body,nosepussycat,1
1965,Body,nose,1
1965,Body,lipspussycat,1
1965,Body,bodies,1
1965,Body,body,1
1965,Body,bony,1
1965,Body,hearts,1
1965,Body,hair,1
1965,Body,wake,1
1965,Body,nerve,1
1965,Body,ears,1
1965,Body,spine,1
1965,Body,heels,2
1965,Body,sleepy,2
1965,Body,hands,2
1965,Body,face,2
1965,Body,ear,2
1965,Body,shoes,3
1965,Body,lips,4
1965,Body,feet,5
1965,Body,arms,5
1965,Body,knees,6
1965,Body,eyes,8
1965,Body,hand,9
1965,Body,heart,16
1965,Body,pussycat,20
1965,See,beautifuls,1
1965,See,saw,1
1965,See,eyesahahahahah,1
1965,See,eyeswhats,1
1965,See,eyespussycat,1
1965,See,white,1
1965,See,green,1
1965,See,shine,1
1965,See,blind,1
1965,See,looked,1
1965,See,seen,1
1965,See,brightened,1
1965,See,brighter,2
1965,See,gaze,2
1965,See,blue,2
1965,See,looking,2
1965,See,bright,3
1965,See,round,3
1965,See,blues,4
1965,See,red,4
1965,See,eyes,8
1965,See,look,9
1965,See,see,18
1965,Hear,noise,1
1965,Hear,songs,1
1965,Hear,rang,1
1965,Hear,rings,1
1965,Hear,heard,1
1965,Hear,speak,1
1965,Hear,sayin,1
1965,Hear,ears,1
1965,Hear,says,1
1965,Hear,music,2
1965,Hear,whisper,2
1965,Hear,shoutin,2
1965,Hear,whispered,2
1965,Hear,ear,2
1965,Hear,yell,3
1965,Hear,listen,4
1965,Hear,song,4
